病害名称(别名),发病地区,病害发生生育期,病害发生部位,为害特征,病原,气象,小麦品种,防治措施
小麦根腐病(小麦根腐叶斑病、黑胚病、青死病等),全国各地，东北、西北春麦区发生重，黄淮海冬麦区也很普遍,全生育期,苗期根腐，成株期叶斑、穗腐或黑胚,苗期染病种子带菌严重的不能发芽，轻者发芽后幼芽易死，幼苗染病芽鞘有斑，根系朽腐，麦苗枯死；成株期叶片有斑，严重时整叶枯死，叶鞘染病叶片黄枯，小穗发病出现褐斑和白穗,病菌以菌丝体和厚垣孢子在小麦、大麦、黑麦、燕麦、多种禾本科杂草的病残体和土壤中越冬，生产上播种带菌种子也可引致苗期发病,播后温度10 - 20℃时，分生孢子萌发快，高于22℃萌发率下降，35℃停止萌发；菌丝生长温限4 - 37℃，产孢温限11 - 35℃，适温20 - 24℃；土壤温度低或湿度过低、过高易发病，土质瘠薄或肥水不足、播种过早或过深发病重,春小麦可选用龙麦23号、龙辐麦7号；冬小麦可选用西农881、秦麦2号、12号，西农1376等抗根腐病品种，种植不带黑胚的种子,肥料防治：提倡施用酵素菌沤制的堆肥或腐熟的有机肥，麦收后及时耕翻灭茬。农业防治：采用小麦与豆科、马铃薯、油菜等轮作，适时早播、浅播，土壤过湿散墒后播种，过干则镇压保墒。种子防治：播种前用万家宝30g加水3000g拌20kg种子；也可用多种药剂按种子重量的0.2% - 0.3%拌种。药剂防治：成株开花期喷洒25%敌力脱乳油4000倍液或50%福美双可湿性粉剂；小麦起身期结合喷施植物动力—2003；小麦孕穗至灌浆期喷洒万家宝500 - 600倍液；提倡用多得稀土纯营养剂喷施
小麦丛矮病,未提及,冬小麦播后20天即可显症,染病植株上部叶片,最初症状心叶有黄白色间断虚线条，后发展为黄绿条纹，分蘖增多，植株矮缩呈丛矮状，冬前染病株大部分不能越冬，轻病株返青后仍有症状，一般不能拔节抽穗，后期染病植株症状各异，能抽穗的籽粒秕瘦,小麦丛矮病毒主要由灰飞虱传毒，病毒随带毒若虫越冬,套作麦田、冬麦早播、邻近草坡或杂草丛生麦田病重；夏秋多雨、冬暖春寒年份发病重,未提及,物理方法：清除杂草、消灭毒源；小麦平作，避免与禾本科植物套作；精耕细作，消灭灰飞虱生存环境，适期连片种植，避免早播；麦田冬灌水保苗，小麦返青期早施肥水。种子防治：用种子量0.3%的60%甲拌磷拌种堆闷12小时。药剂防治：出苗后喷药保护，包括田边杂草；小麦返青盛期及时防治灰飞虱
小麦倒伏,未提及,小麦生育中后期,未提及,在小麦生育中后期，发生局部或大部分倒伏，影响小麦成熟，降低千粒重，造成减产,一是气候因素，在小麦灌浆末期，先后阴雨伴随阵风或大风可致倒伏；二是栽培措施不当，如播量过大、追肥浇水导致基部节间拉长等；三是品种间对倒伏能力有差异,未提及,高产麦区选用抗逆性强、综合性状好抗倒的品种；春麦区选用春小麦抗倒伏品种，各高产品种搭配合理,农业防治：实施精量匀播，建立合理群体结构；科学运筹肥水，控制返青起身期肥水，后期浇水根据天气预报；防病治虫，推广化控。种子防治：播种前种子用40%矮壮素或30g原粉对水拌种，也可用多效唑喷洒麦种
小麦全蚀病(小麦立枯病、黑脚病),未提及,未提及,只侵染麦根和茎基部1 - 2节,苗期病株矮小，黄叶多，种子根和地中茎变黑，严重时麦苗连片枯死；拔节期冬麦病苗返青迟缓、分蘖少，病株根部变黑，茎基部及叶鞘内侧出现菌丝层；抽穗后病株早枯白穗，病根变黑，茎基部有黑褐色菌丝层，呈“黑脚”状，后颜色加深,小麦全蚀病菌是土壤寄居菌，主要以菌丝遗留在土壤中的病残体、混有病残体的粪肥及种子上越冬、越夏,小麦全蚀病菌好气，发育温限3 - 35℃，适宜温度19 - 24℃，致死温度为52 - 54℃(温热)10分钟；土壤土质疏松、肥力低，碱性土壤发病较重；土壤潮湿有利于病害发生和扩展,种植耐病品种，如烟农15号、济南13号、济宁3号等,种子处理：禁止从病区引种；对怀疑带病种子用51 - 54℃温水浸种10分钟或用有效成分0.15托布津药液浸种10分钟。物理防治：轮作倒茬，实行稻麦轮作或与棉花、烟草、蔬菜等经济作物轮作，也可改种大豆、油菜、马铃薯等。肥料防治：增施腐熟有机肥，提倡施用酵素菌沤制的堆肥，采用配方施肥技术。药剂防治：提倡用种子重量0.2%的2%立克秀拌种；也可用15%三唑醇30g拌100kg种子；小麦播种后20 - 30天及翌年返青期用15%三唑酮(粉锈宁)可湿性粉剂顺垄喷洒；在多种病害混合发生地区，选用相应药剂拌种防治
小麦冻害,未提及,未提及,未提及,冻害较轻时麦株主茎及大分蘖的幼穗受冻后仍能抽穗结实，但穗粒数减少；冻害较重时主茎、大分蘖幼穗及心叶冻死，其余部分仍能生长；冻害严重时小麦叶片、叶尖硬脆，后青枯或青枯成兰绿色，茎秆、幼穗皱缩死亡,一是不利的气象条件；二是栽培的品种抗寒性差,未提及,春麦区选用宁春24号、辽春10号、蒙麦30号等；冬麦区选用冀麦38号、40号、41号等抗寒小麦品种,农业防治：提高播种质量，播种深度掌握在3 - 5cm之间；适时浇好小麦冻水，根据温度、墒情、苗情确定浇水时间和水量；早春补水，当早春干土层厚度大于3cm时及时补水。物理防治：培育冬前壮苗，冬春镇压；在返青期用200mg/kg浓度的多效唑喷施；在拔节至孕穗期，晚霜来临前浇水或叶面喷水，霜冻即将出现的夜晚熏烟；小麦受冻后及时加强水肥管理
小麦卷曲病(扭叶病、双冠子叶斑病),未提及,苗期、成株均可发病,苗期第三、四叶片，拔节期、抽穗期叶片、叶鞘,苗期染病叶片产生病斑，心叶卷曲干枯，严重时幼苗扭曲畸形后枯死；拔节期、抽穗期染病叶片、叶鞘上产生淡黄色病斑，上生小黑点或漆黑色斑痣，旗叶紧抱不能抽穗，部分小穗或全部呈黑色革质状,病菌以菌丝体在病残体上或以分生孢子附着在种子上越冬或越夏，通过风雨传播，为害麦穗者主要通过小麦粒线虫传播,未提及,未提及,防治：认真防治小麦线虫病；与非小麦作物进行轮作；选用无病种子
小麦叶锈病,河北、山西、内蒙古、河南、山东、山西、贵州、云南、黑龙江、吉林,未提及,主要为害小麦叶片，很少发生在叶鞘及茎秆上,夏孢子堆圆形至长椭圆形，桔红色，散生，成熟后表皮开裂散出夏孢子；冬孢子堆主要在叶片背面和叶鞘上，圆形或长椭圆形，黑色，扁平，成熟时不破裂,叶锈病菌是多孢型转主寄生的病菌，在我国仅以夏孢子世代完成生活史，在自生麦和晚熟春麦上以夏孢子连续侵染的方式越夏，秋季侵染秋苗并传播,北方春麦区病菌从外地传来；冬小麦播种早、出苗早发病重；冬季气温高、雪层厚、覆雪时间长、土壤湿度大发病重；毒性强的小种多会造成大面积发病,黄淮海地区种植陕农7859、冀5418等冬小麦品种；春小麦品种有垦九5号、龙麦23号等；近年新选育了众多抗叶锈冬小麦和春小麦品种,药剂防治：药剂拌种用种子重量的0.03% - 0.04%(有效成分)叶锈特或用种子重量0.2%的20%三唑酮乳油拌种；使用15%保丰1号种衣剂包衣种子；于发病初期喷洒20%三唑酮乳油1000倍液，隔10 - 20天1次，防治1 - 2次。农业防治：适期播种，消灭杂草和自生麦苗，雨季及时排水，防止湿气滞留
小麦颍枯病,未提及,未提及,主要为害小麦未成熟穗部和茎秆，也为害叶片和叶鞘,穗部染病颖壳先出现深褐色斑点，后变为枯白色并长满菌丝和小黑点；茎节染病呈褐色病斑，使节部畸变、扭曲，上部茎秆折断而死；叶片染害初为长梭形淡褐色小斑，后扩大成不规则形大斑，边缘有淡黄晕圈，中央灰白色，其上密生小黑点，剑叶被害扭曲枯死；叶鞘发病后变黄，使叶片早枯,冬麦区病菌在病残体或附在种子上越夏，秋季侵入麦苗，以菌丝体在病株上越冬；春麦区以分生孢子器和菌丝体在病残体上越冬，借风、雨传播,侵染温度10 - 25℃，以22 - 24℃最适，适温下潜育期为7 - 14天；高温多雨条件有利于颖枯病发生和蔓延；连作田发病重；春麦播种晚，偏施氮肥,选用无病种子,种子处理：用50%多福混合粉500倍液浸种48小时或用多种药剂按种子量0.2%拌种；也可用25%三唑酮(粉锈宁)可湿粉拌闷种或用其他药剂拌种。药剂防治：重病区，在小麦抽穗期用70%代森锰锌可湿性粉剂等多种药剂喷洒，隔15 - 20天一次，喷1 - 3次。农业防治：清除病残体，麦收后深耕不茬；消灭自生麦苗，压低越夏、越冬菌源；实行2年以上轮作；春麦适时早播，施用充分腐熟有机肥，增施磷、钾肥，采用配方施肥技术
小麦壳针孢叶枯病(小麦斑枯病),未提及,拔节至抽穗期为害甚,主要为害叶片、叶鞘，也为害茎部和穗部,感病叶片初在叶脉间出现淡绿至黄色纺锤形病斑，后扩展连片形成褐白色大斑，上生黑色小粒点；有时病斑为黄色条纹状，严重时黄色部分变为枯白色，上生黑色小粒点；病叶有时仅叶尖发病干枯，有时很快变黄下垂；病斑有时从叶鞘向茎秆扩展，并侵染穗部颖壳,冬麦区病菌在小麦病残体上越夏，侵染秋季播种的麦苗，以菌丝体在麦苗上越冬；春麦区以分生孢子器和菌丝体在病残体上越冬，借风、雨传播,适温度下侵入，潜育期为15 - 21天；该病在低温、高湿条件易发病；当夜温达8℃以上并有雨露存在时，发病较快；连作，施用带菌未腐熟肥料发病重；土壤瘠薄、施氮过多易发病；冬麦播种过早，病害有加重发生的可能,选用抗(耐)病品种，如扬麦1号，甘麦23等,农业防治：加强农业防治措施，清除病残体，深耕灭茬；消除田间自生苗，减少越冬(夏)菌源；冬麦适时晚播；使用充分腐熟有机肥，增施磷、钾肥，采用平衡施肥技术；重病田应实行3年以上轮作。药剂防治：重病区，在小麦分蘖前期和扬花期用70%甲基硫菌灵(甲基托布津)可湿性粉剂等多种药剂喷洒，隔10 - 15天一次，共喷2 - 3次。种子处理：用种子量0.15%的三唑酮或噻菌灵、0.03%的三唑醇(有效成分)拌种、40%多・福合剂按种子量的0.2%拌种
小麦干热风害,南方、北方，春麦区、冬麦区均常发生,小麦生育后期,麦株的芒、穗、叶片和茎秆等部位,从顶端到基部失水后青枯变白或叶片卷缩萎凋，颖壳变为白色或灰白色，籽粒干瘪，千粒重下降,在小麦灌浆至成熟阶段，遇有高温、干旱和强风力是发生干热风害的主要原因,未提及,在干热风害经常出现的麦区，选择抗逆性强的早熟品种，如冬小麦西农88号等，春小麦红芒等,肥料防治：提倡施用酵素菌沤制的堆肥，增施有机肥和磷肥，适当控制氮肥用量。农业防治：加深耕作层，熟化土壤。种子防治：抗旱剂拌种，如667m²用抗旱剂1号50g溶于1 - 1.5kg水中拌12.5kg麦种等。栽培防治：适时早播，培育壮苗，促小麦早抽穗；适时浇好灌浆水、麦黄水；在小麦拔节至抽穗扬花期，喷洒6% - 10%的草木灰浸提液等；在中后期适时浇水；于小麦拔节至灌浆期喷洒迦姆丰收液肥等；必要时，用多得或万家宝随水浇入土壤中；在小麦开花至灌浆期喷洒0.05%阿斯匹林水溶液
小麦散黑穗病,未提及,未提及,主要在穗部发病，偶尔也侵害叶片和茎秆,病穗比健穗较早抽出，最初病小穗外有灰色薄膜，成熟后破裂散出黑粉，病穗上小穗全部或部分被毁，仅上部残留少数健穗；小麦同时受腥黑穗病菌和散黑穗病菌侵染时，病穗上部表现为腥黑穗，下部为散黑穗；散黑穗病菌侵害叶片和茎秆时，长出条状黑色孢子堆,散黑穗病是花器侵染病害，带菌种子是唯一传播途径，病菌以菌丝潜伏在种子胚内,小麦扬花期空气湿度大、常阴雨天利于孢子萌发侵入，形成病种子多，翌年发病重,未提及,种子处理：温汤浸种，包括变温浸种和恒温浸种；石灰水浸种；药剂拌种，用75%萎锈灵可湿性粉剂等多种药剂拌种
小麦旺长,1998年秋冬北方冬小麦出现旺长，山东、河北等地出现旺长地块约占50%,未提及,未提及,冬季气温低时出现冻害，有的影响穗分化，抗寒力下降，引起死苗，导致下年小麦返青晚，穗数不够，造成严重减产,1998年9月份播种以来，气温持续偏高，部分小麦播种密度大、播种过早，10月中旬冬麦区普遍降雨加剧旺长,未提及,对小麦旺长出现频率高的地区，可改种春小麦,农业防治：根据气象预报，确定适宜播期，控制播种量；加强冬季管理，采用滚石镇压、深中耕等；镇压时不损伤麦苗，掌握好深中耕时机，适时适当浇水追肥。化学防治：采用化控技术，推广壮丰安
小麦条锈病,未提及,苗期染病,主要发生在叶片上，其次是叶鞘和茎秆，穗部、颖壳及芒上也有发生,幼苗叶片上产生多层轮状排列的鲜黄色夏孢子堆；成株叶片初发病时夏孢子堆为小长条状，鲜黄色，椭圆形，与叶脉平行且排列成行，后期表皮破裂，出现锈褐色粉状物；小麦近成熟时，叶鞘上出现圆形至卵圆形黑褐色夏孢子堆，散出鲜黄色粉末；后期病部产生黑色冬孢子堆,小麦条锈病菌主要以夏孢子在小麦上完成周年的侵染循环，目前尚未发现转主寄主,夏季最热月份旬均温在20℃以下的地区病菌能越冬；秋季越夏菌源随气流传到冬麦区后，遇适宜温湿度条件可侵染冬麦秋苗；平均气温降至1 - 2℃时，病菌开始越冬；翌年小麦返青后，越冬病叶中的菌丝体复苏扩展，旬均温上升至5℃时显症产孢；在有大面积感病品种时，越冬菌量和春季降雨是流行的重要条件,各地因地制宜选用抗病品种，如陕西、甘肃、河北、河南等地的多种品种，春小麦也有相应抗病品种；应用抗病品种时注意抗锈品种合理布局、定期轮换,农业防治：适期播种，适当晚播；清除自生麦；提倡施用酵素菌沤制的堆肥或腐熟有机肥，增施磷钾肥，搞好氮磷钾合理搭配；合理灌溉，注意排水。药剂防治：药剂拌种用种子重量0.30%(有效成分)三唑酮或12.5%特谱唑可湿性粉剂；小麦拔节或孕穗期病叶普遍率达2% - 4%，严重度达1%时，开始喷洒20%三唑酮乳油等药剂，做到普治与挑治相结合；锈病、叶枯病、纹枯病混发时，用12.5%特谱唑可湿性粉剂喷施
小麦梭条斑花叶病毒病(小麦黄花叶病),冬小麦上发生严重,染病后冬前不表现症状，到春季小麦返青期出现症状,染病株在小麦4 - 6叶后的新叶,染病株在4 - 6叶后的新叶上产生褪绿条纹，少数心叶扭曲畸形，之后条纹增加并扩散，病斑联合成不规则条斑，形似梭状，老病叶渐变黄、枯死，病株分蘖少、萎缩、根系发育不良，重病株明显矮化,梭条花叶病毒主要靠病土、病根残体、病田水流传播，也可经汁液摩擦接种传播，传播媒介是禾谷多粘菌,土温15℃左右，土壤湿度较大时，有利于禾谷多粘菌游动孢子活动和侵染；高于20℃或干旱时，侵染很少发生；播种早发病重，播种迟发病轻,常年发病地区选用繁6、8165等优良抗病品种,物理防治：与非寄主作物油菜、大麦等进行多年轮作；冬麦适时迟播；增施基肥，提高苗期抗病能力；避免通过带病残体、病土等途径传播
小麦混杂退化,未提及,未提及,未提及,种子纯度明显下降，性状变劣，品质变差，抗逆性下降，产量明显降低,一是机械混杂，在播种、收藏等过程中出现人为混杂；二是生物学混杂，田间不同品种间天然杂交；三是突变；四是小麦品种本身继续分离；五是选留种质量不高,未提及,未提及,农业防治：严防机械混杂，做到单收、单运等，贮藏时防虫、防鼠、防霉，处理种子时工具要清扫干净；防止生物学混杂，采取空间、时间、屏障隔离措施；选留种时严格去杂去劣
小麦湿害,湖北、淮北麦区、江苏丘陵麦区等,从苗期至扬花灌浆期,从苗期至扬花灌浆期均可受害,苗期受害造成种苗霉烂，成苗率低，分蘖延迟，根系不发达，苗小叶黄；拔节抽穗期受害，上部功能叶缩短，有效穗减少；扬花灌浆期受害，功能叶早衰，穗粒数少，千粒重降低，严重的青枯死亡,一是冬春阴雨连绵，日照时数不足，田间湿度大，地温低，土壤含水量长期处于饱和状态；二是地下水位高；三是三沟不畅，排灌设施差；四是布局不合理,未提及,未提及,农业防治：及时清理深沟大渠，开挖完善田间一套沟，做到“三沟”配套，提倡水浇麦大面积连片种植；增施肥料，早施巧施接力肥，重施拔节孕穗肥，多施热性有机肥和磷钾肥；搂锄松土散湿提温；护叶防病，锈病、赤霉病等发生后及时喷药防治，也可喷施多种叶面肥和营养剂
小麦灰霉病,80年代以来，四川成都、重庆及浙江等长江两岸地区,从苗期到成熟期均可发病,叶片、穗部,叶片染病初在基部叶片现不规则水浸斑，拔节后叶尖先变黄，下部叶片先发病并向上蔓延，病部现水渍状斑，褪绿变黄，后形成褐色小斑，最后变为黑褐色枯死，其上产生白色霉状物；穗部发病颖壳变褐，生长后期病部可长出灰色霉层,该菌属弱寄生菌，在田靠气流传播,春季长期低温多雨条件下易发病，积温低、日照少，3月份气温低且多雨发病重,选用抗灰霉病的品种,加强田间管理，提高抗病力
小麦炭疽病,未提及,未提及,主要为害叶鞘和叶片，茎秆也可受害,叶鞘染病麦株基部叶鞘先发病，初生褐色病变，产生椭圆形病斑，后沿叶脉纵向扩展成长条形褐斑，致病部以上叶片发黄枯死；叶片染病形成近圆形至椭圆形病斑，后期病部连成一片，致叶片早枯；茎秆染病生出梭形褐色病斑，病部均有小黑粒点,病菌以分生孢子盘和菌丝体在寄主病残体上越冬或越夏，也可附着在种子上传播,在田间气温25℃左右，湿度大，有水膜的条件下有利于病菌侵染和孢子形成；杂草多的连作地，肥料不足、土壤碱性地块利于发病,选用抗炭疽病的小麦品种,物理防治：与非禾本科作物进行3年以上轮作；收获后及时清除病残体或深翻。药剂防治：发病重的地区或地块，可喷洒50%苯菌灵可湿性粉剂1500倍液或25%苯菌灵乳油800倍液，防治1次或15天后再防一次
小麦白秆病,我国四川北部、青海、甘肃及西藏高寒麦区,小麦各生育阶段均可发病,主要为害叶片和茎秆,条斑型：叶片染病从基部产生与叶脉平行向叶尖扩展的水渍状条斑，初为暗褐色，后变草黄色，边缘色深，叶片常生2 - 3个宽为3 - 4mm的条斑，条斑愈合叶片即干枯；叶鞘染病病斑与叶斑相似，常产生不规则条斑，从茎节扩展至叶片基部；茎秆上的条斑多发生在穗颈节，症状与叶鞘相似。斑点型：叶片上产生圆形至椭圆形草黄色病斑，四周褐色，后期叶鞘上生长方形角斑，中间灰白色，四周褐色，茎秆上也可产生褐色条斑,病菌以菌丝体或分生孢子器在种子和病残体上越冬或越夏,该病害流行程度与当地种子带菌率高低、小麦品种的抗病程度及小麦拔节后期开花至灌浆阶段温湿度高低及田间小气候有关；在青藏高原7、8月多雨、气温偏低易于该病流行；向阳山坡地发病轻，背阴麦田发病重,对小麦实行检疫，防止该病进入无病区；建立无病留种田，选育抗病品种,种子处理：用25%三唑酮可湿性粉剂等多种药剂拌种，或采用浸种处理；对病残体多的或靠近场面的麦田，要实行轮作。药剂防治：田间出现病株后，可喷洒50%甲基硫菌灵可湿性粉剂800倍液或50%苯菌灵可湿性粉剂1500倍液
小麦白粉病,我国山东沿海、四川、贵州、云南发生普遍，近年来东北、华北、西北麦区亦日趋严重,未提及,可侵害小麦植株地上部各器官，但以叶片和叶鞘为主，发病重时颖壳和芒也可受害,发病时叶面出现1 - 2mm的白色霉点，后逐渐扩大为近圆形至椭圆形白色霉斑，霉斑表面有一层白粉，后期病部霉层变为灰白色至浅褐色，病斑上散生有针头大小的小黑粒点,病菌靠分生孢子或子囊孢子借气流传播到感病小麦叶片上,南方麦区雨后及时排水，防止湿气滞留；北方麦区适时浇水，使寄主增强抗病力,各地因地制宜选用抗病品种，如郑州8915、豫麦9号等众多冬小麦品种和垦红13号等春小麦品种；根据种植区域和条件合理搭配品种,肥料防治：提倡施用酵素菌沤制的堆肥或腐熟有机肥，采用配方施肥技术，适当增施磷钾肥，根据品种特性和地力合理密植。物理防治：自生麦苗越夏地区，冬小麦秋播前要及时清除掉自生麦。药剂防治：用种子重量0.03%(有效成分)25%三唑酮(粉锈宁)可湿性粉剂拌种；在小麦抗病品种少或病菌小种变异大抗性丧失快的地区，当病情指数达到1或病叶率达10%以上时，开始喷洒20%三唑酮乳油等药剂，可采用杀虫杀菌剂混配兼治多种病虫害
小麦眼斑病(茎裂病),未提及,未提及,主要为害距地面15 - 20cm植株基部的叶鞘和茎秆,病部产生典型的眼状病斑，病斑初浅黄色，具褐色边缘，后中间变为黑色，长约4cm，上生黑色虫屎状物；病情严重时病斑常穿透叶鞘，扩展到茎秆上，严重时形成白穗或茎秆折断,病菌以菌丝在病残体中越冬或越夏，分生孢子靠雨水飞溅传播,气温6 - 15℃，湿度适宜时利于其侵入；冬小麦发病重于春小麦,选用耐病品种,物理防治：与非禾本科作物进行轮作；收获后及时清除病残体和耕播土地，促进病残体迅速分解；适当密植，避免早播，雨后及时排水，防止湿气滞留。药剂防治：必要时在发病初期开始喷洒36%甲基硫菌灵悬浮剂500倍液或50%苯菌灵可湿性粉剂1500倍液
小麦禾谷胞囊线虫病,未提及,秋麦秋季侵入，以各发育虫态在根内越冬，翌年春季气温回升为害，于4 - 5月显露胞囊；春麦被侵入两个月可出现胞囊,为害小麦、大麦、燕麦、黑麦等27属34种植物的根系,受害小麦幼苗矮黄，根系短分叉，后期根系被寄生呈瘤状，露出白亮至暗褐色粉粒状胞囊；线虫为害后，病根常受次生性土壤真菌为害，致使根系腐烂，地上部矮小、发黄,该线虫在我国年均只发生一代，以2龄幼虫侵入幼嫩根尖，在维管束附近定居取食，刺激周围细胞成为巨形细胞，发育过程中形态发生变化，雌成虫形成白色胞囊，内含大量卵，雄成虫交配后死亡，雌虫体内卵变为褐色胞囊后死亡，卵在土中可保持活性，胞囊可借多种方式传播,9℃以上有利于线虫孵化和侵入寄主；春麦早播较晚播重，冬麦晚播发病轻；连作麦田发病重；缺肥、干旱地较重；沙壤土较粘土重；苗期侵染对产量影响较大,选用抗(耐)病品种,检疫方法：加强检疫，防止此病扩散蔓延。物理防治：轮作与麦类及其它禾谷类作物隔年或3年轮作。肥料方法：春麦区适当晚播，平衡施肥，提高植株抵抗力；施用土壤添加剂，控制根际微生态环境。药剂防治：每667m²施用3%万强颗粒剂200g，也可用24%万强水剂600倍液在小麦返青时喷雾；其它方法参见小麦粒线虫病
小麦秆枯病,未提及,苗期至结实期都可染病,主要为害茎秆和叶鞘,幼苗发病初在第一片叶与芽鞘之间有针尖大小的小黑点，以后扩展到叶鞘和叶片上，呈梭形褐边白斑并有虫粪状物；拔节期在叶鞘上形成褐色云斑，边缘明显，病斑上有灰黑色虫粪状物，叶鞘内有一层白色菌丝，有的茎秆内也充满菌丝，叶片下垂卷曲；抽穗后叶鞘内菌丝变为灰黑色，叶鞘表面有明显突出小黑点，茎基部干枯或折倒，形成枯白穗，籽粒秕瘦,以土壤带菌为主，未腐熟粪肥也可传播,田间湿度大，地温10 - 15℃适宜秆枯病发生；小麦3叶期前容易染病，叶龄越大，抗病力越强；病害流行程度主要决定于土壤带菌多少,选用抗(耐)病品种，如中苏68号、2711、敖德萨3号等,农业防治：加强农业防治，麦收时集中清除田间所有病残体；重病田实行3年以上轮作；混有麦秸的粪肥要充分腐熟或加入酵素菌进行沤制；适期早播。药剂防治：用50%拌种双或福美双、40%多菌灵可湿粉、50%甲基硫菌灵可湿粉按相应比例拌种
小麦秆锈病,华东沿海、长江流域、南方冬麦区及东北、华北的内蒙古、西北春麦区,未提及,主要发生在叶鞘和茎秆上，也为害叶片和穗部,夏孢子堆大，长椭圆形，深褐色或褐黄色，排列不规则，散生，常连接成大斑，成熟后表皮易破裂，散出大量锈褐色粉末；小麦成熟时，在夏孢子堆及其附近出现黑色椭圆至长条形冬孢子堆，后表皮破裂，散出黑色粉末状物,该病主要以夏孢子完成病害的侵染循环，在转主寄主小蘖叶背形成的锈孢子侵染小麦，又形成夏孢子和冬孢子；我国小麦秆锈菌主要在福建、广东沿海地区、云南南部麦区越冬，翌春夏孢子北移，在多个麦区越夏，借气流远距离传播,病菌侵入适温18 - 22℃，秆锈病流行需要较高的温度和湿度，尤其需要液态水,选用抗病品种，如东北麦区的克丰系列等，内蒙古的蒙杂系列等，黄淮地区的泰山1号等；新育出的抗秆锈的春小麦和冬小麦品种；种植时要兼顾抗源的多样化和合理布局,药剂防治：参见小麦条锈病、叶锈病
小麦秆黑粉病,未提及,未提及,主要为害小麦茎、叶和穗等,当株高0.33m左右时，在茎、叶、叶鞘等部位出现与叶脉平行的条纹状孢子堆，孢子堆略隆起，初白色，后变灰白色至黑色，病组织老熟后，孢子堆破裂，散出黑色粉末；病株多矮化、畸形或卷曲，多数病株不能抽穗而卷曲在叶鞘内，或抽出畸形穗，病株分蘖多,病菌以冬孢子团散落在土壤中或以冬孢子粘附在种子表面及肥料中越冬或越夏，冬孢子萌发后从芽鞘侵入而至生长点，是幼苗系统性侵染病害，没有再侵染,该病发生与小麦发芽期土温有关，土温20℃左右最为适宜；干燥地块较潮湿地块发病重；西北地区10月份播种的发病率高,选用抗病品种，如北京5号、阿勃、矮丰1号、矮丰2号；换用无病种子,物理防治：土壤传病为主的地区，可与非寄主作物进行1 - 2年轮作。肥料防治：精细整地，提倡施用日本酵素菌沤制的堆肥或净肥，适期播种，避免过深。种子防治：土壤传病为主的地区提倡用种子重量0.2%的40%拌种双或0.3%的50%福美双拌种；其他地区最好选用种子重量0.03%有效成分的20%三唑酮或0.015% - 0.02%有效成分的15%三唑醇等内吸杀菌剂拌种
小麦穗发芽,春小麦、冬小麦收获期,春小麦、冬小麦收获期,麦穗,影响籽粒品质，影响小麦贮存及下季或翌年播种质量，造成较大经济损失,一是小麦成熟时的环境条件影响；二是受穗部形态等遗传因素影响，如休眠期短、胚乳对刺激麦粒合成α淀粉酶活性的GA#3反应敏感、颖壳中发芽抑制物少、麦穗籽粒吸水速率快等品种易穗发芽,在长江中下游地区及全国其他冬、春小麦栽培区，麦熟期与雨季吻合时易发生,选用培育抗穗发芽或早熟、适应当地种植的小麦品种,农业防治：适期播种，使小麦成熟期尽量躲过当地的雨季，必要时在雨季到来之前喷洒“穗得安”。收获管理：小麦成熟后马上组织收割机抢收、抢打，尽快晾干入库；已经发芽的据实际情况尽可能减少损失
